Poll,Date,Sample,Biden,Sanders,Bloomberg,Warren,Buttigieg,Klobuchar,Gabbard,Steyer,Spread,Undecided 
Economist/YouGovYouGov,3/1 - 3/3,722 RV,28,24,11,19,7,4,2,0,Biden +4,5
Morning ConsultM. Consult,3/2 - 3/3,961 LV,36,28,19,14,0,0,0,0,Biden +8,3
The Hill/HarrisXThe Hill,3/1 - 3/2,449 RV,28,23,20,11,0,3,2,0,Biden +5,13
Morning ConsultM. Consult,3/1 - 3/1,2656 LV,26,29,17,11,10,3,0,0,Sanders +3,4
Reuters/IpsosReuters,2/28 - 3/2,469 RV,18,29,15,10,10,4,1,2,Sanders +11,11
Yahoo News/YouGovYouGov,2/26 - 2/27,811 RV,21,27,14,18,10,4,1,2,Sanders +6,3
Morning ConsultM. Consult,2/26 - 2/27,5334 LV,21,33,17,11,10,4,2,3,Sanders +12,-1
IBD/TIPPIBD/TIPP,2/20 - 2/29,325 RV,20,23,13,17,7,6,0,0,Sanders +3,14
FOX NewsFOX News,2/23 - 2/26,507 LV,18,31,16,10,12,5,1,2,Sanders +13,5
Economist/YouGovYouGov,2/23 - 2/25,584 RV,20,30,11,16,9,4,4,1,Sanders +10,5
The Hill/HarrisXThe Hill,2/23 - 2/24,470 RV,17,28,19,8,12,3,2,3,Sanders +9,8
Reuters/IpsosReuters,2/19 - 2/25,1808 RV,17,29,16,12,11,4,1,3,Sanders +12,7
CBS News/YouGovCBS News,2/20 - 2/22,6498 LV,17,28,13,19,10,5,1,2,Sanders +9,5
EmersonEmerson,2/16 - 2/18,573 LV,22,29,14,12,8,6,4,3,Sanders +7,2
Economist/YouGovYouGov,2/16 - 2/18,555 LV,18,24,12,16,11,7,2,2,Sanders +6,8
ABC News/Wash PostABC/WP,2/14 - 2/17,408 RV,16,32,14,12,8,7,1,2,Sanders +16,8
NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,426 LV,15,27,14,14,13,7,1,2,Sanders +12,7
Reuters/IpsosReuters,2/14 - 2/17,385 RV,15,28,17,9,12,5,0,3,Sanders +11,11
SurveyUSASUSA,2/13 - 2/17,1022 LV,18,29,18,10,12,4,0,2,Sanders +11,7
NPR/PBS/MaristNPR/PBS,2/13 - 2/16,527 RV,15,31,19,12,8,9,0,2,Sanders +12,4
The Hill/HarrisXThe Hill,2/14 - 2/15,449 RV,19,22,18,12,10,5,0,3,Sanders +3,11
Politico/Morning ConsultPolitico,2/12 - 2/17,15974 RV,19,28,20,10,12,6,2,3,Sanders +8,0
Economist/YouGovYouGov,2/9 - 2/11,552 LV,18,22,12,15,10,7,4,1,Sanders +4,11
The Hill/HarrisXThe Hill,2/7 - 2/10,913 RV,23,20,16,9,9,3,1,3,Biden +3,16
Reuters/IpsosReuters,2/7 - 2/10,436 RV,21,21,15,13,8,3,0,2,Tie,17
MonmouthMonmouth,2/6 - 2/9,357 RV,16,26,11,13,13,6,1,1,Sanders +10,13
QuinnipiacQuinnipiac,2/5 - 2/9,665 RV,17,25,15,14,10,4,1,1,Sanders +8,13
Politico/Morning ConsultPolitico,2/4 - 2/9,15346 RV,22,25,17,11,11,3,1,3,Sanders +3,7
Economist/YouGovYouGov,2/2 - 2/4,616 RV,24,19,9,18,9,6,3,2,Biden +5,10
Reuters/IpsosReuters,1/31 - 2/3,430 RV,27,21,9,12,6,5,1,3,Biden +6,16
Politico/Morning ConsultPolitico,1/27 - 2/2,15259 RV,28,24,14,14,6,3,2,3,Biden +4,6
Harvard-HarrisHarris,1/27 - 1/29,980 RV,31,20,13,12,6,3,1,2,Biden +11,12
NBC News/Wall St. JrnlNBC/WSJ,1/26 - 1/29,428 LV,26,27,9,15,7,5,2,2,Sanders +1,7
Economist/YouGovYouGov,1/26 - 1/28,591 RV,26,24,4,20,7,4,3,1,Biden +2,11
IBD/TIPPIBD/TIPP,1/23 - 1/30,336 RV,26,19,8,13,7,3,1,2,Biden +7,21
QuinnipiacQuinnipiac,1/22 - 1/27,827 RV,26,21,8,15,6,7,1,2,Biden +5,14
Politico/Morning ConsultPolitico,1/20 - 1/26,17836 RV,29,23,12,14,7,3,1,3,Biden +6,8
EmersonEmerson,1/21 - 1/23,497 LV,30,27,7,13,6,4,1,1,Biden +3,11
LA Times/USCLA Times,1/15 - 1/28,2227 LV,34,18,9,16,9,3,1,2,Biden +16,8
ABC News/Wash PostABC/WP,1/20 - 1/23,LV,34,22,7,14,4,4,0,1,Biden +12,14
The Hill/HarrisXThe Hill,1/20 - 1/22,878 RV,29,17,11,9,5,2,2,4,Biden +12,21
FOX NewsFOX News,1/19 - 1/22,495 LV,26,23,10,14,7,3,0,3,Biden +3,14
Economist/YouGovYouGov,1/19 - 1/21,470 LV,28,18,6,21,8,4,3,2,Biden +7,10
MonmouthMonmouth,1/16 - 1/20,372 RV,30,23,9,14,6,5,1,1,Biden +7,11
CNNCNN,1/16 - 1/19,500 RV,24,27,5,14,11,4,0,2,Sanders +3,13
Politico/Morning ConsultPolitico,1/15 - 1/19,12402 LV,29,24,10,15,8,3,2,3,Biden +5,6
SurveyUSASUSA,1/14 - 1/16,1086 LV,32,21,9,14,9,2,2,3,Biden +11,8
The Hill/HarrisXThe Hill,1/13 - 1/14,451 RV,29,19,7,11,4,3,1,3,Biden +10,23
